img_name,frame_idx,timestamp_sec,y_true_torque,y_pred_torque,mse,ae,re,segment
00420.jpg,420,21.0,-604.0,-579.6971703767776,590.6275276953738,24.30282962322235,0.040169966319375784,baseline_3s
00421.jpg,421,21.05,-625.0,-554.9510897397995,4906.849828641623,70.0489102602005,0.11189921766805191,baseline_3s
00422.jpg,422,21.1,-625.0,-565.5062037706375,3539.5117897809064,59.49379622936249,0.09503801314594647,baseline_3s
00423.jpg,423,21.15,-632.0,-562.3059575557709,4857.259552218011,69.69404244422913,0.11010117289767635,baseline_3s
00424.jpg,424,21.2,-632.0,-553.9018993377686,6099.313327048036,78.09810066223145,0.12337772616466264,baseline_3s
00425.jpg,425,21.25,-608.0,-540.613590836525,4540.928139947272,67.38640916347504,0.11065091816662567,baseline_3s
00426.jpg,426,21.3,-608.0,-526.0216556787491,6720.448937653572,81.97834432125092,0.1346114028263562,baseline_3s
00427.jpg,427,21.35,-556.0,-483.89138555526733,5199.652277139108,72.10861444473267,0.12945891282716815,baseline_3s
00428.jpg,428,21.4,-556.0,-527.5811551809311,807.6307408503197,28.41884481906891,0.05102126538432479,baseline_3s
00429.jpg,429,21.45,-562.0,-523.0619586706161,1516.171062568805,38.93804132938385,0.06916170751222708,baseline_3s
00430.jpg,430,21.5,-562.0,-528.6815840005875,1110.1168447099094,33.31841599941254,0.05918013499007555,baseline_3s
00431.jpg,431,21.55,-508.0,-510.719086766243,7.393432842357711,2.719086766242981,0.005342017222481298,baseline_3s
00432.jpg,432,21.6,-508.0,-529.3853540420532,457.3333675039621,21.385354042053223,0.042014448019750926,baseline_3s
00433.jpg,433,21.65,-557.0,-594.8351697921753,1431.5000732027338,37.83516979217529,0.06780496378526038,baseline_3s
00434.jpg,434,21.7,-557.0,-615.3646957874298,3406.437714359227,58.36469578742981,0.10459622900973084,baseline_3s
00435.jpg,435,21.75,-457.0,-634.9045701026917,31650.03606342353,177.90457010269165,0.3884379259884097,baseline_3s
00436.jpg,436,21.8,-457.0,-545.9436632394791,7910.97523045786,88.94366323947906,0.1942001380774652,baseline_3s
00437.jpg,437,21.85,-447.0,-529.8662928342819,6866.822488096964,82.86629283428192,0.18496940364795073,baseline_3s
00438.jpg,438,21.9,-447.0,-463.84343683719635,283.70136448862297,16.84343683719635,0.03759695722588471,baseline_3s
00439.jpg,439,21.95,-433.0,-460.4931466579437,755.8731131552022,27.493146657943726,0.06334826418881043,baseline_3s
